table_name,field_name,size,data_element,description,logical_delete_flag,released_at
ADMITDISCH,ReportDelayDesc,30,R1572,Report Delay Description,0,PC42
ADMITDISCH,ReportDispDt,16,R1575,DD/MM/YYYY HH:MM,0,PC42
ADMITDISCH,ReportDispDtInt,12,R1575A,YYYYMMDDHHMM,0,PC42
ADMITDISCH,ReportReason,30,R1574,Report Reason,0,PC42
ADMITDISCH,ReportRequired,3,R1573,Report Required - YES/NO,0,PC42
ADMITDISCH,ReportRequiredInt,1,R1573A,"Numeric (0=No, 1=Yes)",0,PC42
ADMITDISCH,Room,4,H7506,,,1.0
ADMITDISCH,RttPeriodStatus,4,R2224,RttPeriodStatus,0,312
ADMITDISCH,SourceOfAdm,2,A0320,,,1.0
ADMITDISCH,Specialty,4,A0431,,,1.0
ADMITDISCH,TheatreTime,3,A0332,,,1.0
ADMITDISCH,TransFrom,14,C0213,Hospital transferred from on admission,,1.0
ADMITDISCH,TransTo,14,C0224,Hospital transferred to on discharge,,1.0
ADMITDISCH,WlDateCcyy,10,C0197C,,,1.0
ADMUNBDHRG,EpisodeNumber,9,A0142,EpisodeNumber,0,4.3
ADMUNBDHRG,FCENumber,4,E4547,FCE Number,0,4.3
ADMUNBDHRG,InternalPatientNumber,9,A0000,InternalPatientNumber,0,4.3
ADMUNBDHRG,SeqNo,3,R2366,Sequence Number,0,4.3
ADMUNBDHRG,UnbndHrgCode,5,R2357,Unbundled HRG Code,0,4.3
ADMUNBDHRG,UnbndHrgDesc,90,R2356,Unbundled HRG Description,0,4.3
ADTLADDCOR,Districtnumber,14,C4353A,,,3.1
ADTLADDCOR,Intpatno,9,H0179,,,3.1
ADTLADDCOR,Newaddline1,20,A0037,,,3.1
ADTLADDCOR,Newaddline2,20,A0038,,,3.1
ADTLADDCOR,Newaddline3,20,A0039,,,3.1
ADTLADDCOR,Newaddline4,20,A0040,,,3.1
ADTLADDCOR,Newpostcode,10,A0041,,,3.1
ADTLADDCOR,Newpseudopostcode,10,C4629,,,3.1
ADTLADDCOR,Oldaddline1,20,C7139,,,3.1
ADTLADDCOR,Oldaddline2,20,C7140,,,3.1
ADTLADDCOR,Oldaddline3,20,C7141,,,3.1
ADTLADDCOR,Oldaddline4,20,C7142,,,3.1
ADTLADDCOR,Oldpostcode,8,C7143,,,3.1
ADTLADDCOR,Oldpseudopostcode,8,C7144,,,3.1
ADTLADDCOR,PmiPatientAddressNewEffectiveDateFromInt,12,A9284A,,,3.1
ADTLADDCOR,PmiPatientAddressNewEffectiveDateToInt,12,A9289A,,,3.1
ADTLADDCOR,PmiPatientAddressOldEffectiveDateFromInt,12,A9241A,,,3.1
ADTLADDCOR,PmiPatientAddressOldEffectiveDateToInt,12,A9252A,,,3.1
ADTLADDCOR,SeqNo,3,A0152,,,3.1
ADTLADDCOR,TransactDate,,,Date of transaction - format CCYYMMDD,,3.1
ADTLADDCOR,Transactdatetime,14,H0178A,,,3.1
ADTLADDCOR,TransactType,2,H0120A,,,3.1
ADTLADDCOR,Transactuserid,4,A8366,,,3.1
AEA,AccompaniedBy,4,C7320,,,1.0
AEA,AeAdditionalDetailsWhere,60,A6077,Incident details,,3.0
AEA,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEA,AEHRGCode,6,A1152,,,3.4
AEA,AENumber,12,H6092,,,1.0
AEA,AllergiesClaimedByPatient,30,C7423,,,1.0
AEA,AllocStreamCode,1,C1788,"1-Minor Case (unlikely admission),2-Major Case (re",0,5.0
AEA,AllocStreamDesc,45,C1788D,,0,5.0
AEA,AmbulanceNumber,10,H6998,,,1.0
AEA,AssaultLocationType,2,R2839,5.1,0,5.1
AEA,AssaultLocDesc,255,R2847,5.1,0,5.1
AEA,AssaultMethod,2,R2836,5.1,0,5.1
AEA,AssaultMethodDesc,25,R2834,5.1,0,5.1
AEA,AttendanceDate,10,H6087D,,,1.0
AEA,AttendanceTime,5,H6087T,,,1.0
AEA,BedReqComment,60,A7053,,,3.0
AEA,BedReqConsultant,6,A0833,,,3.0
AEA,BedReqRevisionCount,4,A7054A,,,3.0
AEA,BedReqSingleRoomRequired,3,A7052,,,3.0
AEA,BedReqSpecialty,4,A0868,,,3.0
AEA,CallInDate,18,H6215A,,,1.0
AEA,CallInDtTmInt,12,H6215,,,1.0
AEA,CallInTime,18,H6215C,,,1.0
AEA,Comments,255,A6082U,,,3.0
AEA,ComplaintText1,60,H6099,,,1.0
AEA,ComplaintText2,60,H6099A,,,1.0
AEA,Consultant,6,A0141,,,1.0
AEA,CoronerInformed,3,H6103A,,,1.0
AEA,Cubicle,4,H6100,,,1.0
AEA,DecisionToAdmit,12,R9573A,6.0,0,6.0
AEA,DecisionToAdmitDtEXT,16,R9573,6.0,0,6.0
AEA,DepartmentCode,8,H6255,,,1.0
AEA,DepartureDate,18,H6109A,,,1.0
AEA,DepartureDtTmInt,12,H6109,,,1.0
AEA,DepartureTime,10,A3045,,,1.0
AEA,DistrictNumber,14,A0007C,,,1.0
AEA,EpisodeNumber,9,A0142,,,1.0
AEA,ExpctTrtDtExt,16,R8216,8.2,0,8.2
AEA,ExpctTrtDtINT,12,R8216A,8.2,0,8.2
AEA,FollowUpRequired,3,H6133A,,,1.0
AEA,HospitalCode,4,H6254,,,1.0
AEA,ImmediateCall,3,H6214A,,,3.1
AEA,InitiatorOfAttendance,4,H6139,,,1.0
AEA,InternalPatientNumber,9,A0000,,,1.0
AEA,InterpreterLanguage,30,R9580,6.0,0,6.0
AEA,MajorIncident,3,H6162A,YES/NO,,3.0
AEA,MethodOfDeparture,4,H6163,,,1.0
AEA,ModeOfArrival,4,H6165,,,1.0
AEA,NewOrFU,1,H6167A,,,1.0
AEA,NOKInformed,3,H6168A,,,1.0
AEA,ObsoleteIniOfAttend,4,H6139,8.2,0,8.2
AEA,ObsoleteModeOfArrival,4,H6165,6.0,0,6.0
AEA,PatientHistory,121,A5556U,,,3.0
AEA,PatientType,7,C7422,,,1.0
AEA,ReferrerId,8,R2821,6.0,0,6.0
AEA,ReferrerType,3,C4454,6.0,0,6.0
AEA,RTS,2,A4689,First Revised Trauma Score,,3.0
AEA,RTS2,2,A4694,Second Revised Trauma Score,,3.0
AEA,RTSDtTm,16,A3619,Date of First Revised Trauma Score - Access format,,3.0
AEA,RTSDtTm2,16,A3621,Date of 2nd Revised Trauma Score - Access format,,3.0
AEA,RTSDtTmInt,12,A3619A,Date of First Revised Trauma Score - CCYYMMDDHHMM,,3.0
AEA,RTSDtTmInt2,12,A3621A,Date of 2nd Revised Trauma Score - CCYYMMDDHHMM,,3.0
AEA,Specialty,4,A0293,,,1.0
AEA,TransferredFromHosp,10,R9639,8.2,0,8.2
AEA,TrtAllocDtEXT,16,R8217,8.2,0,8.2
AEA,TrtAllocDtINT,12,R8217A,8.2,0,8.2
AEA,ViolentIncidentExt,3,R2833,8.2,0,8.2
AEA,What,60,A6078,Incident details,,3.0
AEA,Why,60,A6079,Incident details,,3.0
AEACCBY,Code,4,H6001,,,1.0
AEACCBY,Deleted,2,H6022,,,1.0
AEACCBY,Description,30,H6018,,,1.0
AEACOMPLAINT,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEACOMPLAINT,AeComplaintSequenceNo,3,H6157,,,1.0
AEACOMPLAINT,AeNumber,12,H6092,,,1.0
AEACOMPLAINT,AttendanceDate,10,H6087D,,,1.0
AEACOMPLAINT,AttendanceTime,5,H6087T,,,1.0
AEACOMPLAINT,ComplaintCode,4,H6086,,,1.0
AEACOMPLAINT,DeptCode,8,H6255,,,1.0
AEACOMPLAINT,DistrictNumber,14,A0007C,,,1.0
AEACOMPLAINT,EpisodeNumber,9,A0142,,,1.0
AEACOMPLAINT,HospitalCode,4,H6254,,,1.0
AEACOMPLAINT,InternalPatientNumber,9,A0000,,,1.0
AEADIAGNOSISCOMMENT,AeAttendanceDatetimeneutral,,,,,2.0
AEADIAGNOSISCOMMENT,AeDiagnosisCommentLineCount,1,H7604,,,2.0
AEADIAGNOSISCOMMENT,EpisodeNumber,,,,,2.0
AEADIAGNOSISCOMMENT,GeneralDiagnosisComment,60,H7603A,,,2.0
AEADIAGNOSISCOMMENT,InternalPatientNumber,,,,,2.0
AEADISCHARGE,Acuity,50,R9577,6.0,0,6.0
AEADISCHARGE,AeAttendanceDatetimeneutral,12,H6087,6.0,0,6.0
AEADISCHARGE,AeTrackingInjuryDatetimeExternal,16,R9561,6.0,0,6.0
AEADISCHARGE,AeTrackingInjuryDatetimeInternal,12,R9561A,6.0,0,6.0
AEADISCHARGE,ChiefComplaint,50,R9578,6.0,0,6.0
AEADISCHARGE,DischargeDestination,30,R9571,6.0,0,6.0
AEADISCHARGE,DischargeFollowup,30,R9572,6.0,0,6.0
AEADISCHARGE,DischargeStatus,30,R9570,6.0,0,6.0
AEADISCHARGE,EpisodeNumber,9,A0142,6.0,0,6.0
AEADISCHARGE,InjuryActivityStatus,30,R9559,6.0,0,6.0
AEADISCHARGE,InjuryActivityType,30,R9557,6.0,0,6.0
AEADISCHARGE,InjuryIntent,30,R9556,6.0,0,6.0
AEADISCHARGE,InjuryMechanism,30,R9560,6.0,0,6.0
AEADISCHARGE,InjuryPlace,30,R9558,6.0,0,6.0
AEADISCHARGE,InternalPatientNumber,9,A0000,6.0,0,6.0
AEADISCHARGE,RdyToProccEXT,16,R8215,8.2,0,8.2
AEADISCHARGE,RdyToProccINT,12,R8215A,8.2,0,8.2
AEADOCTOR,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEADOCTOR,AeDoctorSequenceNo,3,H6155,,,1.0
AEADOCTOR,AENumber,12,H6092,,,1.0
AEADOCTOR,AttendanceDate,10,H6087D,,,1.0
AEADOCTOR,AttendanceTime,5,H6087T,,,1.0
AEADOCTOR,DeptCode,8,H6255,,,1.0
AEADOCTOR,DistrictNumber,14,A0007C,,,1.0
AEADOCTOR,DoctorCode,8,H6088,,,1.0
AEADOCTOR,EpisodeNumber,9,A0142,,,1.0
AEADOCTOR,HospitalCode,4,H6254,,,1.0
AEADOCTOR,InternalPatientNumber,9,A0000,,,1.0
AEADOCTOR,ReferralDate,18,H6120A,,,1.0
AEADOCTOR,ReferralTime,10,A3045,,,1.0
AEADOCTOR,ReferredDtTmInt,12,H6120,Format CCYYMMDDHHMM,,1.0
AEADOCTOR,SeenDate,18,H6095A,,,1.0
AEADOCTOR,SeenDtTmInt,12,H6095,,,1.0
AEADOCTOR,SeenTime,10,A3045A,,,1.0
AEADRUG,AeAttendanceDatetimeneutral,,,Format CCYYMMDDHHMM,,3.0
AEADRUG,AgpSeqNo2,3,A1303A,,,3.0
AEADRUG,DrugPrescribed,4,A6081,,,3.0
AEADRUG,EpisodeNumber,,,,,3.0
AEADRUG,InternalPatientNumber,,,,,3.0
AEAIMMUNISATION,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEAIMMUNISATION,AeImmunisationCodeSequenceNo,3,H6153,,,1.0
AEAIMMUNISATION,AENumber,12,H6092,,,1.0
AEAIMMUNISATION,AttendanceDate,10,H6087D,,,1.0
AEAIMMUNISATION,AttendanceTime,5,H6087T,,,1.0
AEAIMMUNISATION,DeptCode,8,H6255,,,1.0
AEAIMMUNISATION,DistrictNumber,14,A0007C,,,1.0
AEAIMMUNISATION,EpisodeNumber,9,A0142,,,1.0
AEAIMMUNISATION,HospCode,4,H6254,,,1.0
AEAIMMUNISATION,ImmunisationCode,4,H6135,,,1.0
AEAIMMUNISATION,InternalPatientNumber,9,A0000,,,1.0
AEAINVESTIGATION,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEAINVESTIGATION,AeInvestigationCodeSequenceNo,3,H6151,,,1.0
AEAINVESTIGATION,AENumber,12,H6092,,,1.0
AEAINVESTIGATION,AttendanceDate,10,H6087D,,,1.0
AEAINVESTIGATION,AttendanceTime,5,H6087T,,,1.0
AEAINVESTIGATION,DeptCode,8,H6255,,,1.0
AEAINVESTIGATION,DistrictNumber,14,A0007C,,,1.0
AEAINVESTIGATION,EpisodeNumber,9,A0142,,,1.0
AEAINVESTIGATION,HospCode,4,H6254,,,1.0
AEAINVESTIGATION,InternalPatientNumber,9,A0000,,,1.0
AEAINVESTIGATION,InvestigationCode,4,H6149,,,1.0
AEAINVESTIGATION,ObsoleteInvestigationCode,4,H6149,6.0,0,6.0
AEAINVESTIGATIONCOMMENT,AeAttendanceDatetimeneutral,,,Format CCYYMMDDHHMM,,3.0
AEAINVESTIGATIONCOMMENT,AgpSeqNo2,3,A1303A,,,3.0
AEAINVESTIGATIONCOMMENT,EpisodeNumber,9,H6087,,,3.0
AEAINVESTIGATIONCOMMENT,InternalPatientNumber,9,A0142,,,3.0
AEAINVESTIGATIONCOMMENT,InvestigationComment,60,A3501A,,,3.0
AEALETTERCOPY,AeAttendanceDatetimeneutral,12,H6087,6.0,0,6.0
AEALETTERCOPY,CopyOfAELetterFlag,50,R9583,6.0,0,6.0
AEALETTERCOPY,DocumentCode,10,R9581,6.0,0,6.0
AEALETTERCOPY,EpiSequenceNumber,3,R9568,6.0,0,6.0
AEALETTERCOPY,EpisodeNumber,9,A0142,6.0,0,6.0
AEALETTERCOPY,InternalPatientNumber,9,A0000,6.0,0,6.0
AEALETTERCOPY,NoOfCopiesToPrint,2,R9582,6.0,0,6.0
AEALOAN,AeApplianceLoanSequenceNo,1,H7590,,,1.0
AEALOAN,Appliance,4,H6083,,,1.0
AEALOAN,Description,30,H6018,,,1.0
AEALOAN,DistrictNumber,14,A0007C,,,1.0
AEALOAN,ExpectedReturnDate,10,A4664,,,3.0
AEALOAN,InternalPatientNumber,9,A0000,,,1.0
AEALOAN,LoanDate,10,H6085A,,,1.0
AEANATSITE,AeAnatomSitePromptSideInt,1,C7364A,,,1.0
AEANATSITE,AnatomicalSiteCode,4,C7362,,,1.0
AEANATSITE,AnatomicalSiteDescription,25,C7363,,,1.0
AEANATSITE,CmdsValue,2,A9174,,,1.0
AEANATSITE,MfRecStsInd,1,A0463,Logical Delete indicator,,1.0
AEANATSITE,PromptForSide,3,C7364,,,1.0
AEANATSITE,SideMandatory,3,E4922,,,1.0
AEANATSITE,SideMandatory_1,1,E4922A,,,1.0
AEAOUTSAFE,AeAttendanceDatetimeneutral,12,H6087,6.0,0,6.0
AEAOUTSAFE,EpisodeNumber,9,A0142,6.0,0,6.0
AEAOUTSAFE,InternalPatientNumber,9,A0000,6.0,0,6.0
AEAOUTSAFE,SafeguardingConcern,30,R9575,6.0,0,6.0
AEAOUTSAFE,SequenceNumber,3,R9568,6.0,0,6.0
AEAPPLIANCE,Appliance,4,H6083,,,1.0
AEAPPLIANCE,Deleted,2,H6022,,,1.0
AEAPPLIANCE,Description,30,H6018,,,1.0
AEAPROCEDURE,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEAPROCEDURE,AENumber,12,H6092,,,1.0
AEAPROCEDURE,AeProcedureCodeSequenceNo,3,H6154,,,1.0
AEAPROCEDURE,AttendanceDate,10,H6087D,,,1.0
AEAPROCEDURE,AttendanceTime,5,H6087T,,,1.0
AEAPROCEDURE,DeptCode,8,H6255,,,1.0
AEAPROCEDURE,DistrictNumber,14,A0007C,,,1.0
AEAPROCEDURE,EpisodeNumber,9,A0142,,,1.0
AEAPROCEDURE,HospCode,4,H6254,,,1.0
AEAPROCEDURE,InternalPatientNumber,9,A0000,,,1.0
AEAPROCEDURE,ObsoleteProcedureTreatmentCode,10,H6175,6.0,0,6.0
AEAPROCEDURE,ProcedureTreatmentCode,10,H6175,,,1.0
AEAPROCEDURECOMMENT,AeAttendanceDatetimeneutral,,,Format CCYYMMDDHHMM,,3.0
AEAPROCEDURECOMMENT,AgpSeqNo2,3,A1303A,,,3.0
AEAPROCEDURECOMMENT,EpisodeNumber,9,H6087,,,3.0
AEAPROCEDURECOMMENT,InternalPatientNumber,9,A0142,,,3.0
AEAPROCEDURECOMMENT,ProcedureComment,255,A7404,,,3.0
AEARRIVALMODE,ArrivalMode,30,H6018,,,1.0
AEARRIVALMODE,CmdsValue,2,H6021,,,3.0
AEARRIVALMODE,Code,4,H6001,,,1.0
AEARRIVALMODE,Defattdt,3,H6020A,Attend Date/time to default into Triage step D/t,,1.0
AEARRIVALMODE,Deleted,2,H6022,,,1.0
AEARRIVALMODE,KornerValue,2,H6019,,,1.0
AEASECDIAG,AeAttendanceDatetimeneutral,,,Format CCYYMMDDHHMM,,1.0
AEASECDIAG,AeOtherDiagConfirmed,1,R9586,6.0,0,6.0
AEASECDIAG,AeOtherDiagConfirmedExt,3,R9586A,6.0,0,6.0
AEASECDIAG,AeOtherDiagnosisDescription,45,H6238,,,1.0
AEASECDIAG,AeSecondaryDiagnosisCodeSequenceNo,3,H6152,,,1.0
AEASECDIAG,EpisodeNumber,,,,,1.0
AEASECDIAG,InternalPatientNumber,,,,,1.0
AEASECDIAG,ObsoleteOtherDiagnosis,7,H6237,6.0,0,6.0
AEASECDIAG,OtherDiagnosis,7,H6237,,,1.0
AEASECDIAG,ReadCodeDiagnosisRepeatGroupSec30CharDes,30,A6316,,,1.0
AEASECDIAG,ReadCodeRepeatGroupSecondaryDiagnosisCode,8,A6312,,,1.0
AEASECDIAG,ReadCodeRepeatGroupSecondaryDiagnosisTerm,2,A6313,,,1.0
AEASECDIAG,SnomedForConfirmed,30,R9605,6.0,0,6.0
AEATRACKSTEP,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEATRACKSTEP,AENumber,12,H6092,,,1.0
AEATRACKSTEP,AttendanceDate,10,H6087D,,,1.0
AEATRACKSTEP,AttendanceTime,5,H6087T,,,1.0
AEATRACKSTEP,Comment,30,C7464,,,1.0
AEATRACKSTEP,DeptCode,8,H6255,,,1.0
AEATRACKSTEP,DistrictNumber,14,A0007C,,,1.0
AEATRACKSTEP,Doctor,8,C7462,,,1.0
AEATRACKSTEP,EpisodeNumber,9,A0142,,,1.0
AEATRACKSTEP,HospCode,4,H6254,,,1.0
AEATRACKSTEP,InternalPatientNumber,9,A0000,,,1.0
AEATRACKSTEP,LocationCode,4,H6100E,,0,4.2
AEATRACKSTEP,MinutesDuration,10,A3045,,,1.0
AEATRACKSTEP,NurseCode,8,C7461,,,1.0
AEATRACKSTEP,OtherService,30,R3065,6.0,0,6.0
AEATRACKSTEP,Priority,4,C7463,,,1.0
AEATRACKSTEP,StepDate,16,C7465,,,1.0
AEATRACKSTEP,StepDtTmInt,12,C7465A,Format CCYYMMDDHHMM,,1.0
AEATRACKSTEP,StepTime,12,C7465B,,,1.0
AEATRACKSTEP,TrackingStep,4,C7460,,,1.0
AEATRACKSTEPCOMMENT,AeAttendanceDatetimeneutral,,,Format CCYYMMDDHHMM,,3.0
AEATRACKSTEPCOMMENT,AgpSeqNo2,3,A1303A,,,3.0
AEATRACKSTEPCOMMENT,Comment,60,A7049B,,,3.0
AEATRACKSTEPCOMMENT,EpisodeNumber,,,,,3.0
AEATRACKSTEPCOMMENT,InternalPatientNumber,9,H6087,,,3.0
AEATRACKSTEPCOMMENT,TrackingStep,4,C7460,,,3.0
AEATRIAGEID,Acuity,50,R9577,6.0,0,6.0
AEATRIAGEID,AeAttendanceDatetimeneutral,12,H6087,,,4.0
AEATRIAGEID,ChiefComplaint,50,R9578,6.0,0,6.0
AEATRIAGEID,EpisodeNumber,9,A0142,,,4.0
AEATRIAGEID,InjuryActivityStatus,30,R9559,6.0,0,6.0
AEATRIAGEID,InjuryActivityType,30,R9557,6.0,0,6.0
AEATRIAGEID,InjuryIntent,30,R9556,6.0,0,6.0
AEATRIAGEID,InjuryMechanism,30,R9560,6.0,0,6.0
AEATRIAGEID,InjuryPlace,30,R9558,6.0,0,6.0
AEATRIAGEID,InternalPatientNumber,9,A0000,,,4.0
AEATRIAGEID,PainScore,8,A0108,,,4.0
AEATRIAGEID,PatientPainScore,4,R2209,PatientPainScore,0,312
AEATRIAGEID,SeqNo,30,F1133,,,4.0
AEATRIAGEID,TetanusStatus,20,A0107,,,4.0
AEATRIAGEID,TriageIdentifier,60,A0232A,,,4.0
AEATRIDRUG,AeAttendanceDatetimeneutral,12,H6087,6.0,0,6.0
AEATRIDRUG,AlcoholOrDrugs,30,R9569,6.0,0,6.0
AEATRIDRUG,EpisodeNumber,9,A0142,6.0,0,6.0
AEATRIDRUG,InternalPatientNumber,9,A0000,6.0,0,6.0
AEATRIDRUG,SequenceNumber,3,R9568,6.0,0,6.0
AEATTENDANCE,AeAttendanceDatetimeneutral,12,H6087,Format CCYYMMDDHHMM,,1.0
AEATTENDANCE,DepartmentCode,8,H6255,,,1.0
AEATTENDANCE,EpisodeNumber,9,A0142,,,1.0
AEATTENDANCE,HospitalCode,4,H6254A,,,1.0
AEATTENDANCE,InternalPatientNumber,9,A0000,,,1.0
AEATYPEINC,DistrictNumber,14,A0007C,,,1.0
AEATYPEINC,EdEstAddress1,20,H6123,,,1.0
AEATYPEINC,EdEstAddress2,20,H6124,,,1.0
AEATYPEINC,EdEstAddress3,20,H6125,,,1.0
AEATYPEINC,EdEstAddress4,20,H6126,,,1.0
AEATYPEINC,EducEstabName,20,H6127,,,1.0
AEATYPEINC,EmpAddress1,20,H6129,,,1.0
AEATYPEINC,EmpAddress2,20,H6130,,,1.0
AEATYPEINC,EmpAddress3,20,H6131,,,1.0
AEATYPEINC,EmpAddress4,20,H6132,,,1.0
AEATYPEINC,Employer,20,H6128,,,1.0
AEATYPEINC,EpisodeNumber,9,A0142,,,1.0
AEATYPEINC,InsCoName,20,H6141,,,1.0
AEATYPEINC,InsuredAddress1,20,H6142,,,1.0
AEATYPEINC,InsuredAddress2,20,H6143,,,1.0
AEATYPEINC,InsuredAddress3,20,H6144,,,1.0
AEATYPEINC,InsuredAddress4,20,H6145,,,1.0
AEATYPEINC,InsuredName,20,H6146,,,1.0
AEATYPEINC,InsuredPostcode,10,H6147,,,1.0
AEATYPEINC,InternalPatientNumber,9,A0000,,,1.0
AEATYPEINC,PlaceOfAccidentCode,4,H6170,,,1.0
AEATYPEINC,PolicyNumber,20,H6174,,,1.0
AEATYPEINC,RTALocation,30,C7319,,,1.0
AEATYPEINC,SafetyDeviceCode,4,H6178,,,1.0
AEATYPEINC,SiteOfAccidentCode,4,H6180,,,1.0
AEATYPEINC,SportCode,4,H6190,,,1.0
AEATYPEINC,TypeOfAccidentCode,4,H6185,,,1.0
AEATYPEINC,TypeOfRoadUser,4,H6189,,,1.0
AEATYPEINC,VehicleNumber,10,H6192,,,1.0
AEAUSERDEFDATA,EpisodeNumber,9,A0142,,,3.0
AEAUSERDEFDATA,InternalPatientNumber,9,A0000,,,3.0
AEAUSERDEFDATA,UddAeTreatmentUserDefinedCode,6,A9707,,,3.0
AEAUSERDEFDATA,UddEpisodeFileMraNumber,3,A9768,,,3.0
