target_table,target_field,mapping_class,primary_source_table,primary_source_field,mapping_rule,confidence,notes
LOAD_ADT_ARCHIVE,purchaser_code,LOOKUP_TRANSLATION,FCEEXT,PurchaserCode,FCEEXT.PurchaserCode -> LOAD_ADT_ARCHIVE.purchaser_code,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,waiting_list_name,DERIVED,CONSMAST,Name,CONSMAST.Name -> LOAD_ADT_ARCHIVE.waiting_list_name,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,decided_to_admit_date,DERIVED,CPFCLINEFFDATA,Id,CPFCLINEFFDATA.Id -> LOAD_ADT_ARCHIVE.decided_to_admit_date,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,inpatient_wait_days,DERIVED,WARD,Days,WARD.Days -> LOAD_ADT_ARCHIVE.inpatient_wait_days,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,operation_date,DERIVED,ADMITDISCH,Operation,ADMITDISCH.Operation -> LOAD_ADT_ARCHIVE.operation_date,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,ref_source,DERIVED,CPSGREFERRAL,Source,CPSGREFERRAL.Source -> LOAD_ADT_ARCHIVE.ref_source,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,gp_registration_codegp,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.gp_registration_codegp,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,gp_namegp,DERIVED,CONSMAST,Name,CONSMAST.Name -> LOAD_ADT_ARCHIVE.gp_namegp,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,gp_fundholder_codegp,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.gp_fundholder_codegp,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,gp_practice_code,LOOKUP_TRANSLATION,ADMITDISCH,EpiGPPracticeCode,ADMITDISCH.EpiGPPracticeCode -> LOAD_ADT_ARCHIVE.gp_practice_code,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,practice_name,DERIVED,CONSMAST,Name,CONSMAST.Name -> LOAD_ADT_ARCHIVE.practice_name,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,patient_category,DERIVED,ADMITDISCH,Category,ADMITDISCH.Category -> LOAD_ADT_ARCHIVE.patient_category,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,intended_management,DERIVED,CPSCPADLPROBGOAL,G,CPSCPADLPROBGOAL.G -> LOAD_ADT_ARCHIVE.intended_management,MEDIUM,Derived/constructed field from source clinical context.
LOAD_ADT_ARCHIVE,admit_date,DERIVED,ADMITDISCH,AdmissionDate,ADMITDISCH.AdmissionDate -> LOAD_ADT_ARCHIVE.admit_date,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,est_discharge_date,DERIVED,ADMITDISCH,DischargeDate,ADMITDISCH.DischargeDate -> LOAD_ADT_ARCHIVE.est_discharge_date,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,ge_date,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ARCHIVE,admitting_specialty,LOOKUP_TRANSLATION,ADMITDISCH,Specialty,ADMITDISCH.Specialty -> LOAD_ADT_ARCHIVE.admitting_specialty,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,admitting_consultant_gmc,DERIVED,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ARCHIVE.admitting_consultant_gmc,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,admitting_consultant_name,DERIVED,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ARCHIVE.admitting_consultant_name,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,discharge_method,DERIVED,CPSCPADLPROBGOAL,G,CPSCPADLPROBGOAL.G -> LOAD_ADT_ARCHIVE.discharge_method,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,ge_methode,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ARCHIVE,ged,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ARCHIVE,ge_toe,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ARCHIVE,discharging_specialty,LOOKUP_TRANSLATION,ADMITDISCH,Specialty,ADMITDISCH.Specialty -> LOAD_ADT_ARCHIVE.discharging_specialty,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,ge_specialty,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ARCHIVE,ge_consultant,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ARCHIVE,admission_outcome,LOOKUP_TRANSLATION,AEDIARY,Outcome,AEDIARY.Outcome -> LOAD_ADT_ARCHIVE.admission_outcome,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,episode_order,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.episode_order,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,age_at_start_of_episode,DERIVED,FCEEXT,AgeAtStartOfEpisode,FCEEXT.AgeAtStartOfEpisode -> LOAD_ADT_ARCHIVE.age_at_start_of_episode,HIGH,Derived/constructed field from source clinical context.
LOAD_ADT_ARCHIVE,episode_start,DERIVED,CONSEPISODE,EpisodeStartDate,CONSEPISODE.EpisodeStartDate -> LOAD_ADT_ARCHIVE.episode_start,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,episode_end,DERIVED,CONSEPISODE,ConsultantEpisodeEndDttm,CONSEPISODE.ConsultantEpisodeEndDttm -> LOAD_ADT_ARCHIVE.episode_end,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,duration_of_episode,DERIVED,AECLINICMF,Duration,AECLINICMF.Duration -> LOAD_ADT_ARCHIVE.duration_of_episode,MEDIUM,Derived/constructed field from source clinical context.
LOAD_ADT_ARCHIVE,specialty,LOOKUP_TRANSLATION,ADMITDISCH,Specialty,ADMITDISCH.Specialty -> LOAD_ADT_ARCHIVE.specialty,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,consultant_gmc,DERIVED,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ARCHIVE.consultant_gmc,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,consultant_name,DERIVED,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ARCHIVE.consultant_name,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,ward_name,DERIVED,WARD,WardName,WARD.WardName -> LOAD_ADT_ARCHIVE.ward_name,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,diagnosis_scheme,DERIVED,AEAUSERDIAG,Diagnosis,AEAUSERDIAG.Diagnosis -> LOAD_ADT_ARCHIVE.diagnosis_scheme,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,primary_diagnosis_code,LOOKUP_TRANSLATION,FCEEXT,KornerEpisodePrimaryDiagnosisCode,FCEEXT.KornerEpisodePrimaryDiagnosisCode -> LOAD_ADT_ARCHIVE.primary_diagnosis_code,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,primary_diagnosis_desc,DERIVED,AEAUSERDIAG,Diagnosis,AEAUSERDIAG.Diagnosis -> LOAD_ADT_ARCHIVE.primary_diagnosis_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,diagnosis_1_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_1_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis,DERIVED,FCEEXT,KornerEpisodePrimaryDiagnosisCode,FCEEXT.KornerEpisodePrimaryDiagnosisCode -> LOAD_ADT_ARCHIVE.diagnosis,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,diagnosis_2_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_2_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_3_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_3_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_4_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_4_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_5_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_5_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_6_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_6_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_7_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_7_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_8_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_8_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_9_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_9_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,diagnosis_10_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.diagnosis_10_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_scheme,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_scheme,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,primary_procedure_code,LOOKUP_TRANSLATION,FCEEXT,KornerEpisodePrimaryProcedureCode,FCEEXT.KornerEpisodePrimaryProcedureCode -> LOAD_ADT_ARCHIVE.primary_procedure_code,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,primary_procedure_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.primary_procedure_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_1_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_1_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_1_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_1_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_2_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_2_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_2_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_2_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_3_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_3_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_3_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_3_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_4_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_4_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_4_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_4_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_5_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_5_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_5_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_5_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_6_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_6_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_6_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_6_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_7_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_7_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_7_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_7_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_8_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_8_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_8_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_8_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_9_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_9_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,procedure_9_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_9_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,procedure_10_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.procedure_10_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,hrghrg,DERIVED,AEHRG,Hrg,AEHRG.Hrg -> LOAD_ADT_ARCHIVE.hrghrg,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_CODING,record_number,SURROGATE_ETL,,,Generate during ETL sequencing and key orchestration.,HIGH,
