target_table,target_field,best_source_table,best_source_field,score,status,source_in_13_priority,source_in_target_hint_tables,notes
LOAD_ADT_ADMISSIONS,admit_from,ADMITDISCH,TransFrom,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,admitted_by,AEA,AccompaniedBy,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,discharge_date,ADMITDISCH,DischargeDate,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ADMISSIONS,ge_typee,WLENTRY,AdmEROD,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,ged,WLENTRY,AdmEROD,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,ge_toe,WLENTRY,AdmEROD,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,discharged_by,AEA,AccompaniedBy,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,ged_by_staff_id,WLENTRY,ContractID,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,source_of_admission,ADMITDISCH,SourceOfAdm,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ADMISSIONS,method_of_admission,WLENTRY,MethodOfAdm,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ADMISSIONS,method_of_discharge,ADMITDISCH,MethodOfDischarge,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ADMISSIONS,destination_on_discharge,ADMITDISCH,DestinationOnDischarge,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ADMISSIONS,admission_outcome,CPSGREFERRAL,Outcome,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,admission_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,physical_discharge_date,ADMITDISCH,DischargeDate,0.827,PROBABLE,Y,Y,
LOAD_ADT_ADMISSIONS,admit_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,consultant_code,WLENTRY,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ADMISSIONS,consultant_name,WLENTRY,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,procedure_10_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,comments,AEA,Comments,1.000,HIGH_CONFIDENCE,Y,N,
LOAD_ADT_ARCHIVE,encounter_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ARCHIVE,of_birth,ADMITDISCH,LivestillBirth,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,sex,FCEEXT,Sex,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,pat_name_1,GP,GpName_1,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,pat_name_family,FCEEXT,ClassPat,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,address_1,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,address_2,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,address_3,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,address_4,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,address_5,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,post_code,LOCATIONCODES,PostCode,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ARCHIVE,district,FCEEXT,DistrictNumber,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,pct_codepct,FCEEXT,AdmissionDatetime,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,contract_number,FCEEXT,ContractId,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,purchaser_ref,ALLOCATEDCONTRACT,PurchaserRef,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ARCHIVE,provider_code,FCEEXT,ProviderCode,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,purchaser_code,FCEEXT,PurchaserCode,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,waiting_list_name,WLACTIVITY,WaitingList,0.697,LOW_CONFIDENCE,Y,N,
LOAD_ADT_ARCHIVE,decided_to_admit_date,AEA,DecisionToAdmitDtEXT,0.580,LOW_CONFIDENCE,Y,N,
LOAD_ADT_ARCHIVE,inpatient_wait_days,WARD,Days,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,operation_date,ADMITDISCH,Operation,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,ref_source,CPSGREFERRAL,Source,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,gp_registration_codegp,FCEEXT,EpisodicGP,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,gp_namegp,FCEEXT,EpisodicGP,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,gp_fundholder_codegp,FCEEXT,EpisodicGP,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,gp_practice_code,FCEEXT,GpCode,0.777,PROBABLE,Y,Y,
LOAD_ADT_ARCHIVE,practice_name,CONSMAST,Name,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,patient_category,FCEEXT,PatientCategory,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,intended_management,SMREPISODE,IntendManagement,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,admit_date,CONSWARDSTAY,AdmitDate,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ARCHIVE,est_discharge_date,ADMITDISCH,DischargeDate,0.827,PROBABLE,Y,Y,
LOAD_ADT_ARCHIVE,ge_date,FCEEXT,FCEEndDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,admitting_specialty,FCEEXT,Specialty,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,admitting_consultant_gmc,FCEEXT,Consultant,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,admitting_consultant_name,JOINTCONSPEC,JointConsultantName,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,discharge_method,FCEEXT,MethodOfDischarge,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,ge_methode,FCEEXT,AdmissionDatetime,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,ged,FCEEXT,AdmissionDatetime,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,ge_toe,FCEEXT,AdmissionDatetime,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,discharging_specialty,FCEEXT,Specialty,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,ge_specialty,FCEEXT,Specialty,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,ge_consultant,FCEEXT,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,admission_outcome,CPSGREFERRAL,Outcome,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,episode_order,FCEEXT,EpisodeNumber,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,age_at_start_of_episode,FCEEXT,AgeAtStartOfEpisode,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,episode_start,FCEEXT,AgeAtStartOfEpisode,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,episode_end,CONSEPISODE,EpisodeEndDt,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_ARCHIVE,duration_of_episode,AECLINICMF,Duration,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,specialty,FCEEXT,Specialty,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,consultant_gmc,FCEEXT,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,consultant_name,FCEEXT,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,ward_name,WARD,WardName,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ARCHIVE,diagnosis_scheme,AEAUSERDIAG,Diagnosis,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,primary_diagnosis_code,FCEEXT,KornerEpisodePrimaryDiagnosisCode,0.710,PROBABLE,Y,Y,
LOAD_ADT_ARCHIVE,primary_diagnosis_desc,FCEEXT,ReadPrimaryDiagnosis,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,diagnosis_1_code,CLNHOL,ClinicCode_1,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis,AEAUSERDIAG,Diagnosis,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ARCHIVE,diagnosis_2_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_3_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_4_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_5_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_6_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_7_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_8_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_9_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,diagnosis_10_code,WARDATTENDER,PriDiagnosisCode,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_scheme,WLCURRENT,IntendedProc,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,primary_procedure_code,FCEEXT,KornerEpisodePrimaryProcedureCode,0.710,PROBABLE,Y,Y,
LOAD_ADT_ARCHIVE,primary_procedure_desc,FCEEXT,ReadPrimaryProcedure,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_ARCHIVE,procedure_1_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_1_desc,LOCN,LocationDesc_1,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_2_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_2_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_3_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_3_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_4_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_4_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_5_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_5_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_6_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_6_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_7_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_7_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_8_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_8_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_9_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_9_desc,FCEEXT,ReadPrimaryProcedure,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,procedure_10_code,FCEEXT,HrgRankedProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ARCHIVE,hrghrg,FCEEXT,AdmissionDatetime,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,record_number,OPA,DistrictNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_ADT_CODING,adt_eps_record_number,OPA,DistrictNumber,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_CODING,external_system_id,FCEEXT,ContractId,0.360,SYSTEM_FIELD,Y,Y,
LOAD_ADT_CODING,diagnosis_division,AEAUSERDIAG,Diagnosis,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,note_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,diagnosis,AEAUSERDIAG,Diagnosis,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_CODING,diagnosis_scheme,AEAUSERDIAG,Diagnosis,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,primary_diagnosis_code,OPA,RefPrimaryDiagnosisCode,0.860,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_CODING,primary_diagnosis_desc,FCEEXT,ReadPrimaryDiagnosis,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_CODING,diagnosis_1_code,OPA,AttPriDiagCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,diagnosis_1_desc,OPCANCERREG,DiagnosisDesc,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_CODING,diagnosis_2_code,OPA,AttPriDiagCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,diagnosis_2_desc,OPCANCERREG,DiagnosisDesc,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_CODING,procedure_scheme,WLCURRENT,IntendedProc,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,primary_procedure_code,OPA,ApptPrimaryProcedureCode,0.860,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_CODING,primary_procedure_desc,OPA,PrimaryProcGroup,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_CODING,procedure_1_code,OPA,ApptPrimaryProcedureCode,0.510,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,procedure_1_desc,LOCN,LocationDesc_1,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_CODING,hrg,FCEEXT,HrgCode,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_CODING,comments,AEA,Comments,1.000,HIGH_CONFIDENCE,Y,N,
LOAD_ADT_EPISODES,indicates,SMREPISODE,AdmissionFrom,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_EPISODES,must,SMREPISODE,AdmissionFrom,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_EPISODES,ge_date,FCEEXT,FCEEndDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_EPISODES,record_number,SMREPISODE,EpisodeNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_ADT_EPISODES,adt_adm_record_number,SMREPISODE,AdmissionFrom,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_EPISODES,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_EPISODES,external_system_id,FCEEXT,ContractId,0.360,SYSTEM_FIELD,Y,Y,
LOAD_ADT_EPISODES,patient_category,FCEEXT,PatientCategory,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_EPISODES,actual_management,SMREPISODE,IntendManagement,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_EPISODES,episode_start,SMREPISODE,EpisodeStartDate,0.777,PROBABLE,Y,Y,
LOAD_ADT_EPISODES,episode_end,CONSEPISODE,EpisodeEndDt,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_EPISODES,episode_order,SMREPISODE,EpisodeNumber,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_EPISODES,duration_of_episode,AECLINICMF,Duration,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_EPISODES,age_at_start_of_episode,FCEEXT,AgeAtStartOfEpisode,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_EPISODES,specialty,FCEEXT,Specialty,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_EPISODES,consultant_code,SMREPISODE,ConsultantCode,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_EPISODES,consultant_name,FCEEXT,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_WARDSTAYS,specialty,FCEEXT,Specialty,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_WARDSTAYS,consultant_code,FCEEXT,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_WARDSTAYS,start_date,CONSWARDSTAY,StartDate,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_WARDSTAYS,end_date,CONSWARDSTAY,EndDate,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_WARDSTAYS,table,FCEEXT,AdmissionDatetime,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_WARDSTAYS,indicates,FCEEXT,AdmissionDatetime,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_WARDSTAYS,record_number,FCEEXT,DistrictNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_ADT_WARDSTAYS,adt_eps_record_number,FCEEXT,DistrictNumber,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_WARDSTAYS,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_WARDSTAYS,external_system_id,FCEEXT,ContractId,0.360,SYSTEM_FIELD,Y,Y,
LOAD_ADT_WARDSTAYS,team,CPCLINACTIVITY,Team,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_WARDSTAYS,ward,FCEEXT,WardCdadmit,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_WARDSTAYS,bed_sex,FCEEXT,Sex,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_WARDSTAYS,bed_location,ADMITDISCH,Bed,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_ADT_WARDSTAYS,is_home_stay,PATDATA,HomePhone,0.280,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_WARDSTAYS,is_awol,PATDATA,IsCPISExists,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_WARDSTAYS,leave_location_code,AEATRACKSTEP,LocationCode,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_WARDSTAYS,transfer_reason,WLACTIVITY,Reason,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CASENOTELOCS,practice_post_code,FCEEXT,PracticeCode,0.697,LOW_CONFIDENCE,Y,N,
LOAD_CASENOTELOCS,applies_start,SMREPISODE,StartReason,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CASENOTELOCS,applies_end,CONSWARDSTAY,EndActivity,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CASENOTELOCS,record_number,PATDATA,DistrictNumber,0.443,SYSTEM_FIELD,Y,Y,
